Company,Role,Rating,Salary,Median Salary,Open Jobs
Deloitte,Analyst,4,₹6L - ₹9L,₹8L,26T open jobs
Goldman Sachs,Analyst,3.8,₹12L - ₹26L,₹21L,2T open jobs
Capgemini,Analyst,3.8,₹4L - ₹4L,₹4L,6T open jobs
Accenture,Analyst,3.8,₹5L - ₹8L,₹6L,26T open jobs
KPMG,Analyst,3.7,₹4L - ₹7L,₹6L,14T open jobs
Northern Trust,Analyst,3.7,₹3L - ₹4L,₹3L,627 open jobs
Tata Consultancy Services,Analyst,3.7,₹3L - ₹7L,₹5L,421 open jobs
EY,Analyst,3.7,₹4L - ₹6L,₹5L,10T open jobs
HSBC,Analyst,3.9,₹7L - ₹13L,₹10L,2T open jobs
MathCo,Analyst,3.5,₹5L - ₹6L,₹6L,Create job alert
Infosys,Analyst,3.6,₹4L - ₹8L,₹6L,3T open jobs
Tredence,Analyst,4,₹6L - ₹7L,₹7L,Create job alert
HCLTech,Analyst,3.5,₹3L - ₹5L,₹4L,426 open jobs
JPMorganChase,Analyst,4.2,₹9L - ₹14L,₹12L,6T open jobs
J.P. Morgan,Analyst,4,₹6L - ₹12L,₹9L,Create job alert
IQVIA,Analyst,3.8,₹6L - ₹8L,₹7L,2T open jobs
ANZ,Analyst,3.9,₹4L - ₹5L,₹4L,198 open jobs
Société Générale,Analyst,3.7,₹4L - ₹7L,₹5L,286 open jobs
Dell Technologies,Analyst,3.8,₹5L - ₹8L,₹7L,438 open jobs
Acuity Knowledge Partners,Analyst,3.7,₹5L - ₹6L,₹5L,146 open jobs
